kanji	on_readings	kun_readings	stroke_count	meanings	name_readings	heisig_en	jlpt	grade	notes	unicode
居	['キョ', 'コ']	['-い', 'い.る', 'お.る']	8	['exist', 'live with', 'reside', 'to be']	['おき', 'ぐ', 'すえ']	reside	2	5	[]	5C45
雑	['ザツ', 'ゾウ']	['まじ.える', 'まじ.る']	14	['miscellaneous']	[]	miscellaneous	2	5	[]	96D1
招	['ショウ']	['まね.く']	8	['beckon', 'engage', 'invite', 'summon']	[]	beckon	2	5	[]	62DB
困	['コン']	['こま.る']	7	['annoyed', 'become distressed', 'quandary']	[]	quandary	2	6	[]	56F0
欠	['ケツ', 'ケン']	['か.く', 'か.ける']	4	['fail', 'gap', 'lack', 'yawning radical (no. 76)']	[]	lack	2	4	[]	6B20
更	['コウ']	['さら', 'さら.に', 'ふ.かす', 'ふ.ける']	7	['again', 'further', 'grow late', 'more and more', 'night watch', 'of course', 'renew', 'renovate', 'sit up late']	[]	grow late	2	8	[]	66F4
刻	['コク']	['きざ.み', 'きざ.む']	8	['carving', 'chop', 'cut fine', 'engrave', 'hash', 'mince', 'time']	[]	engrave	2	6	[]	523B
賛	['サン']	['たす.ける', 'たた.える']	15	['agree with', 'approve', 'assist', 'praise', 'title or inscription on picture']	[]	approve	2	5	[]	8CDB
抱	['ホウ']	['いだ.く', 'かか.える', 'だ.く']	8	['embrace', 'hold in arms', 'hug']	['たば']	embrace	2	8	[]	62B1
犯	['ハン', 'ボン']	['おか.す']	5	['crime', 'offense', 'sin']	[]	crime	2	5	[]	72AF
恐	['キョウ']	['おそ.る', 'おそ.れる', 'おそ.ろしい', 'こわ.い', 'こわ.がる']	10	['awe', 'dread', 'fear']	[]	fear	2	8	[]	6050
息	['ソク']	['いき']	10	['breath', 'coming to an end', 'interest (on money)', 'nuture', 'respiration', 'rest', 'son']	[]	breath	2	3	[]	606F
遠	['エン', 'オン']	['とお.い']	13	['distant', 'far']	['お', 'おに', 'ど', 'どお']	distant	3	2	[]	9060
戻	['レイ']	['もど.す', 'もど.る']	7	['go backwards', 're-', 'restore', 'resume', 'return', 'revert']	[]	re-	2	8	[]	623B
願	['ガン']	['-ねがい', 'ねが.う']	19	['hope', 'petition', 'request', 'vow', 'wish']	['ら']	petition	2	4	[]	9858
絵	['エ', 'カイ']	[]	12	['drawing', 'painting', 'picture', 'sketch']	[]	picture	2	2	[]	7D75
越	['エツ', 'オツ']	['-こ.す', '-ご.え', '-ご.し', 'こ.える', 'こ.す']	12	['Vietnam', 'cross over', 'exceed', 'move to', 'surpass']	['えち', 'えっ', 'お', 'こえ', 'こし', 'ごえ', 'ごし', 'ごや']	surpass	2	8	[]	8D8A
欲	['ヨク']	['ほ.しい', 'ほっ.する']	11	['covetousness', 'craving', 'desire', 'greed', 'longing', 'passion']	[]	longing	2	6	[]	6B32
痛	['ツウ']	['いた.い', 'いた.ましい', 'いた.む', 'いた.める']	12	['bruise', 'damage', 'hurt', 'pain']	[]	pain	2	6	[]	75DB
笑	['ショウ']	['え.む', 'わら.う']	10	['laugh']	['えみ']	laugh	2	4	[]	7B11
互	['ゴ']	['かたみ.に', 'たが.い']	4	['mutually', 'reciprocally', 'together']	[]	mutually	2	8	[]	4E92
束	['ソク']	['たば', 'たば.ねる', 'つか', 'つか.ねる']	7	['bundle', 'control', 'govern', 'manage', 'ream', 'sheaf', 'tie in bundles']	[]	bundle	2	4	[]	675F
似	['ジ']	['に.る', 'ひ.る']	7	['becoming', 'counterfeit', 'imitate', 'resemble', 'suitable']	['にた']	becoming/similar	2	5	[]	4F3C
